"","registration_area","registration_region","tot_number_new_cases","pop_number","prob","infections10","infections100","infections500","infections1000","join"
"197","Донецька","Світлодарськ",33,11421,0.00288941423693197,0,0,1,3,"ДонецькаСвітлодарськ"
"198","Донецька","Святогірськ",66,4369,0.0151064316777295,0,2,8,15,"ДонецькаСвятогірськ"
"199","Донецька","Селидове",219,22276,0.00983120847548932,0,1,5,10,"ДонецькаСелидове"
"200","Донецька","Слов'янський район",2337,45917,0.0508961822418712,1,5,25,51,"ДонецькаСлов'янський район"
"201","Донецька","Соледар",126,10867,0.0115947363577804,0,1,6,12,"ДонецькаСоледар"
"202","Донецька","Старий Крим",27,5858,0.00460908159781495,0,0,2,5,"ДонецькаСтарий Крим"
"203","Донецька","Талаківка",15,3926,0.00382068262862965,0,0,2,4,"ДонецькаТалаківка"
"204","Донецька","Торецьк",564,32027,0.0176101414431573,0,2,9,18,"ДонецькаТорецьк"
"205","Донецька","Українськ",60,11035,0.00543724512913457,0,1,3,5,"ДонецькаУкраїнськ"
"206","Донецька","Цукурине",15,1784,0.00840807174887892,0,1,4,8,"ДонецькаЦукурине"
"207","Донецька","Часів Яр",81,12756,0.00634995296331138,0,1,3,6,"ДонецькаЧасів Яр"
"208","Донецька","Щербинівка",15,3373,0.00444707975096353,0,0,2,4,"ДонецькаЩербинівка"
"209","Донецька","Ясинуватський район",39,25942,0.00150335363503199,0,0,1,2,"ДонецькаЯсинуватський район"
"210","Житомирська","Андрушівський район",429,32030,0.0133936934124259,0,1,7,13,"ЖитомирськаАндрушівський район"
"211","Житомирська","Баранівський район",585,38510,0.0151908595170086,0,2,8,15,"ЖитомирськаБаранівський район"
"212","Житомирська","Бердичів",1260,74839,0.0168361415839335,0,2,8,17,"ЖитомирськаБердичів"
"213","Житомирська","Бердичівський район",837,27587,0.0303403777141407,0,3,15,30,"ЖитомирськаБердичівський район"
"214","Житомирська","Брусилівський район",240,14539,0.0165073251255245,0,2,8,17,"ЖитомирськаБрусилівський район"
"215","Житомирська","Ємільчинський район",537,31615,0.0169856080974221,0,2,8,17,"ЖитомирськаЄмільчинський район"
"216","Житомирська","Житомир",4734,264318,0.0179102444782421,0,2,9,18,"ЖитомирськаЖитомир"
"217","Житомирська","Житомирський район",1218,72213,0.0168667691412903,0,2,8,17,"ЖитомирськаЖитомирський район"
"218","Житомирська","Коростенський район",354,25297,0.0139937542001028,0,1,7,14,"ЖитомирськаКоростенський район"
"219","Житомирська","Коростень",1164,62833,0.0185252972164309,0,2,9,19,"ЖитомирськаКоростень"
"220","Житомирська","Коростишівський район",462,39432,0.0117163724893488,0,1,6,12,"ЖитомирськаКоростишівський район"
"221","Житомирська","Лугинський район",375,15691,0.0238990504110637,0,2,12,24,"ЖитомирськаЛугинський район"
"222","Житомирська","Любарський район",621,26032,0.0238552550706822,0,2,12,24,"ЖитомирськаЛюбарський район"
"223","Житомирська","Малин",528,25831,0.02044055592118,0,2,10,20,"ЖитомирськаМалин"
"224","Житомирська","Малинський район",117,18010,0.00649639089394781,0,1,3,6,"ЖитомирськаМалинський район"
"225","Житомирська","Народицький район",228,9458,0.0241065764432227,0,2,12,24,"ЖитомирськаНародицький район"
"226","Житомирська","Новоград-Волинський",1365,55790,0.0244667503136763,0,2,12,24,"ЖитомирськаНовоград-Волинський"
"227","Житомирська","Новоград-Волинський район",345,43789,0.00787869099545548,0,1,4,8,"ЖитомирськаНовоград-Волинський район"
"228","Житомирська","Овруцький район",885,53916,0.0164144224348987,0,2,8,16,"ЖитомирськаОвруцький район"
"229","Житомирська","Олевський район",396,40721,0.00972471206502787,0,1,5,10,"ЖитомирськаОлевський район"
"230","Житомирська","Попільнянський район",396,30106,0.0131535242144423,0,1,7,13,"ЖитомирськаПопільнянський район"
"231","Житомирська","Пулинський район",483,22193,0.0217636191591943,0,2,11,22,"ЖитомирськаПулинський район"
"232","Житомирська","Радомишльський район",300,36069,0.00831739166597355,0,1,4,8,"ЖитомирськаРадомишльський район"
"233","Житомирська","Романівський район",531,27334,0.019426355454745,0,2,10,19,"ЖитомирськаРоманівський район"
"234","Житомирська","Ружинський район",78,25520,0.0030564263322884,0,0,2,3,"ЖитомирськаРужинський район"
"235","Житомирська","Хорошівський район",489,33828,0.0144554806669032,0,1,7,14,"ЖитомирськаХорошівський район"
"236","Житомирська","Черняхівський район",585,27464,0.0213006117098747,0,2,11,21,"ЖитомирськаЧерняхівський район"
"237","Житомирська","Чуднівський район",780,33247,0.0234607633771468,0,2,12,23,"ЖитомирськаЧуднівський район"
"238","Закарпатська","Берегівський район",450,50196,0.00896485775759025,0,1,4,9,"ЗакарпатськаБерегівський район"
"239","Закарпатська","Берегове",483,23571,0.0204912816596665,0,2,10,20,"ЗакарпатськаБерегове"
"240","Закарпатська","Великоберезнянський район",825,26060,0.0316577129700691,0,3,16,32,"ЗакарпатськаВеликоберезнянський район"
"241","Закарпатська","Виноградівський район",1173,120795,0.00971066683223643,0,1,5,10,"ЗакарпатськаВиноградівський район"
"242","Закарпатська","Воловецький район",156,23709,0.00657977983044414,0,1,3,7,"ЗакарпатськаВоловецький район"
"243","Закарпатська","Іршавський район",429,100294,0.0042774243723453,0,0,2,4,"ЗакарпатськаІршавський район"
"244","Закарпатська","Міжгірський район",174,47360,0.00367398648648649,0,0,2,4,"ЗакарпатськаМіжгірський район"
"245","Закарпатська","Мукачево",654,85796,0.0076227329945452,0,1,4,8,"ЗакарпатськаМукачево"
"246","Закарпатська","Мукачівський район",621,99518,0.00624007717196889,0,1,3,6,"ЗакарпатськаМукачівський район"
"247","Закарпатська","Перечинський район",699,31688,0.0220588235294118,0,2,11,22,"ЗакарпатськаПеречинський район"
"248","Закарпатська","Рахівський район",363,92543,0.00392250089147747,0,0,2,4,"ЗакарпатськаРахівський район"
"249","Закарпатська","Свалявський район",402,54138,0.00742546824781115,0,1,4,7,"ЗакарпатськаСвалявський район"
"250","Закарпатська","Тячівський район",654,175048,0.00373611809332297,0,0,2,4,"ЗакарпатськаТячівський район"
"251","Закарпатська","Ужгород",1491,115512,0.012907749844172,0,1,6,13,"ЗакарпатськаУжгород"
