registration_area,registration_region,tot_number_new_cases,pop_number,prob,infections10,infections100,infections500,infections1000
Чернівецька,Сокирянський район,582,41686,0.0139615218538598,0,1,7,14
Чернівецька,Сторожинецький район,1446,100918,0.0143284646941081,0,1,7,14
Чернівецька,Хотинський район,1479,60515,0.0244402214327026,0,2,12,24
Чернівецька,Чернівці,7536,267060,0.0282183778926084,0,3,14,28
Чернігівська,Бахмацький район,306,42381,0.0072202166064982,0,1,4,7
Чернігівська,Бобровицький район,84,31435,0.00267218069031334,0,0,1,3
Чернігівська,Борзнянський район,33,29500,0.00111864406779661,0,0,1,1
Чернігівська,Варвинський район,108,15186,0.00711181351244567,0,1,4,7
Чернігівська,Городнянський район,75,26850,0.00279329608938547,0,0,1,3
Чернігівська,Ічнянський район,177,29658,0.00596803560590734,0,1,3,6
Чернігівська,Козелецький район,315,42282,0.00744997871434653,0,1,4,7
Чернігівська,Коропський район,81,21620,0.00374653098982424,0,0,2,4
Чернігівська,Корюківський район,114,25422,0.00448430493273543,0,0,2,4
Чернігівська,Куликівський район,216,15730,0.0137317228226319,0,1,7,14
Чернігівська,Менський район,231,33730,0.00684850281648384,0,1,3,7
Чернігівська,Ніжин,726,68007,0.0106753716529181,0,1,5,11
Чернігівська,Ніжинський район,174,25716,0.00676621558562762,0,1,3,7
Чернігівська,Новгород-Сіверський район,219,12340,0.0177471636952998,0,2,9,18
Чернігівська,Носівський район,150,27749,0.00540560020180907,0,1,3,5
Чернігівська,Прилуки,336,53395,0.00629272403783126,0,1,3,6
Чернігівська,Прилуцький район,114,34406,0.00331337557402779,0,0,2,3
Чернігівська,Ріпкинський район,219,25646,0.00853934336738673,0,1,4,9
Чернігівська,Семенівський район,45,16790,0.0026801667659321,0,0,1,3
Чернігівська,Сновський район,60,22405,0.00267797366659228,0,0,1,3
Чернігівська,Сосницький район,120,17377,0.00690567992173563,0,1,3,7
Чернігівська,Срібнянський район,45,10691,0.00420914788139557,0,0,2,4
Чернігівська,Талалаївський район,90,12065,0.00745959386655615,0,1,4,7
Чернігівська,Чернігів,2331,286899,0.00812481047337216,0,1,4,8
Чернігівська,Чернігівський район,432,51152,0.00844541757898029,0,1,4,8
Київська,Київ,14553,2963489,0.00491076565494254,0,0,2,5
