registration_area,registration_region,tot_number_new_cases,pop_number,prob,infections10,infections100,infections500,infections1000
Полтавська,Гребінківський район,51,21601,0.00236100180547197,0,0,1,2
Полтавська,Диканський район,162,18118,0.00894138425874821,0,1,4,9
Полтавська,Зіньківський район,261,32763,0.00796630345206483,0,1,4,8
Полтавська,Карлівський район,129,32539,0.00396447340114939,0,0,2,4
Полтавська,Кобеляцький район,51,40172,0.00126954097381261,0,0,1,1
Полтавська,Козельщинський район,42,18380,0.00228509249183896,0,0,1,2
Полтавська,Котелевський район,192,18950,0.010131926121372,0,1,5,10
Полтавська,Кременчук,1578,219022,0.00720475568664335,0,1,4,7
Полтавська,Кременчуцький район,111,38814,0.00285979285824702,0,0,1,3
Полтавська,Лохвицький район,291,40617,0.00716448777605436,0,1,4,7
Полтавська,Лубенський район,48,30260,0.0015862524785195,0,0,1,2
Полтавська,Лубни,225,45032,0.00499644697104281,0,0,2,5
Полтавська,Машівський район,66,18686,0.00353205608476935,0,0,2,4
Полтавська,Миргород,198,39099,0.0050640681347349,0,1,3,5
Полтавська,Миргородський район,24,29743,0.000806912550852301,0,0,0,1
Полтавська,Новосанжарський район,57,32824,0.00173653424323666,0,0,1,2
Полтавська,Оржицький район,42,22741,0.00184688448177301,0,0,1,2
Полтавська,Пирятинський район,45,30195,0.0014903129657228,0,0,1,1
Полтавська,Полтава,5493,286649,0.0191628088707792,0,2,10,19
Полтавська,Полтавський район,453,68174,0.00664476193270162,0,1,3,7
Полтавська,Решетилівський район,66,25336,0.00260498894853173,0,0,1,3
Полтавська,Семенівський район,12,23722,0.000505859539667819,0,0,0,1
Полтавська,Хорольський район,141,32705,0.00431126739030729,0,0,2,4
Полтавська,Чорнухинський район,24,10568,0.00227100681302044,0,0,1,2
Полтавська,Чутівський район,42,22082,0.00190200163028711,0,0,1,2
Полтавська,Шишацький район,114,19413,0.00587235357749961,0,1,3,6
Рівненська,Березнівський район,261,63716,0.00409630234164103,0,0,2,4
Рівненська,Вараш,270,42246,0.0063911376224968,0,1,3,6
Рівненська,Володимирецький район,345,65501,0.00526709515885254,0,1,3,5
Рівненська,Гощанський район,246,34401,0.00715095491410133,0,1,4,7
Рівненська,Демидівський район,228,14057,0.0162196770292381,0,2,8,16
Рівненська,Дубенський район,204,44352,0.0045995670995671,0,0,2,5
Рівненська,Дубно,282,37464,0.00752722613709161,0,1,4,8
Рівненська,Дубровицький район,210,46727,0.00449418965480343,0,0,2,4
Рівненська,Зарічненський район,327,34722,0.00941766027302575,0,1,5,9
Рівненська,Здолбунівський район,645,56109,0.011495482008234,0,1,6,11
Рівненська,Корецький район,165,32553,0.00506865726661137,0,1,3,5
Рівненська,Костопільський район,1029,63462,0.0162144275314361,0,2,8,16
Рівненська,Млинівський район,387,36771,0.0105245981887901,0,1,5,11
Рівненська,Острог,303,15457,0.0196027689719868,0,2,10,20
Рівненська,Острозький район,300,27744,0.0108131487889273,0,1,5,11
Рівненська,Радивилівський район,102,36435,0.00279950596953479,0,0,1,3
Рівненська,Рівне,2526,246003,0.0102681674613724,0,1,5,10
Рівненська,Рівненський район,912,92981,0.00980845549090674,0,1,5,10
Рівненська,Рокитнівський район,345,58223,0.0059254933617299,0,1,3,6
Рівненська,Сарненський район,1275,104037,0.0122552553418495,0,1,6,12
Сумська,Білопільський район,231,48264,0.00478617603182496,0,0,2,5
Сумська,Буринський район,66,22962,0.00287431408413901,0,0,1,3
Сумська,Великописарівський район,9,17482,0.000514815238531061,0,0,0,1
Сумська,Глухів,78,32686,0.00238634277672398,0,0,1,2
Сумська,Глухівський район,24,21243,0.00112978392882361,0,0,1,1
Сумська,Конотоп,372,85603,0.00434564209198276,0,0,2,4
Сумська,Конотопський район,24,26838,0.000894254415381176,0,0,0,1
Сумська,Краснопільський район,75,26988,0.00277901289461983,0,0,1,3
Сумська,Кролевецький район,96,36390,0.00263808738664468,0,0,1,3
Сумська,Лебедин,57,24600,0.00231707317073171,0,0,1,2
Сумська,Лебединський район,12,18510,0.000648298217179903,0,0,0,1
Сумська,Липоводолинський район,102,17713,0.00575848247050189,0,1,3,6
Сумська,Недригайлівський район,84,22972,0.00365662545707818,0,0,2,4
Сумська,Охтирка,300,47603,0.0063021238157259,0,1,3,6
Сумська,Охтирський район,69,25234,0.00273440596021241,0,0,1,3
Сумська,Путивльський район,36,26194,0.00137436054058181,0,0,1,1
Сумська,Роменський район,72,30876,0.00233190827827439,0,0,1,2
Сумська,Ромни,213,38947,0.00546897065242509,0,1,3,5
Сумська,Середино-Будський район,12,15561,0.000771158665895508,0,0,0,1
Сумська,Сумський район,5457,264981,0.0205939293760685,0,2,10,21
Сумська,Тростянецький район,87,33413,0.00260377697303445,0,0,1,3
Сумська,Шостка,174,74125,0.00234738617200675,0,0,1,2
Сумська,Шосткинський район,3,19420,0.000154479917610711,0,0,0,0
Сумська,Ямпільський район,18,22412,0.000803141174370873,0,0,0,1
Тернопільська,Бережанський район,390,20453,0.0190681073681123,0,2,10,19
Тернопільська,Борщівський район,579,64966,0.00891235415448081,0,1,4,9
Тернопільська,Бучацький район,372,62242,0.00597667170078082,0,1,3,6
Тернопільська,Гусятинський район,645,57964,0.0111275964391691,0,1,6,11
Тернопільська,Заліщицький район,663,44966,0.0147444736022773,0,1,7,15
Тернопільська,Збаразький район,447,55844,0.00800444094262589,0,1,4,8
Тернопільська,Зборівський район,303,39947,0.00758505019150374,0,1,4,8
Тернопільська,Козівський район,321,36394,0.00882013518711876,0,1,4,9
Тернопільська,Кременецький район,567,45884,0.0123572487141487,0,1,6,12
Тернопільська,Лановецький район,144,28410,0.00506863780359029,0,1,3,5
Тернопільська,Монастириський район,552,25889,0.0213217969021592,0,2,11,21
Тернопільська,Підволочиський район,582,40668,0.0143110061965181,0,1,7,14
